112062	1030101938	102016	220		7116	.	0	13.10.2016
112062	1030101983	102016	220		7146	.	0	14.10.2016
112062	1030101990	102016	220		6052	.	0	13.10.2016
112062	1030425841	102016	220		3149	.	0	10.10.2016
112062	1030473848	102016	220		2978	.	0	26.10.2016
112062	1030742885	102016	220		3638	.	0	14.10.2016
112062	1030915557	102016	220		4228	.	0	11.10.2016
112062	1321286500	102016	220		5154	.	0	14.10.2016
112062	1321854169	102016	220		4917	.	0	07.10.2016
112062	8007234521	102016	220		4866	.	0	21.10.2016
112062	8007662423	102016	220		4348	.	0	14.10.2016
112062	8010735615	102016	220		3728	.	0	14.10.2016
